uni_code,prog_code,course_name,2016_cut_off,2015_cut_off,2014_cut_off,cluster
KU,1111228,Bachelor of Environmental Studies and Community Development,,31.325,34.973,21
KU,1111232,Bachelor of Information Technology,,42.344,42.065,9
KU,1111233,Bachelor of Library & Information Science,,31.434,25,2
KU,1111237,Bachelor of Arts (Psychology),,36.289,35.983,3
KU,1111279,Bachelor of Science (Microbiology),,40.13,40.837,18
KU,1111282,Bachelor of Education (Arts) French,,35.382,33.639,22
KU,1111294,Bachelor of Science (Animal Health & Production),,38.261,36.201,20
KU,1111300,Bachelor of Science (Real Estate),,43.273,,14
KU,1111302,Bachelor of Arts (Gender and Development),,33.958,31.713,3
KU,1111309,Bachelor of Science (Mathematics & Computer Science),,42.061,42.053,11
KU,1111310,Bachelor of Education Arts (Home Economics),,33.413,33.042,3
KU,1111312,Bachelor of Environmental Planning & Management,,34.673,32.121,21
KU,1111315,Bachelor of Education (Physical Education),,23,25,16
KU,1111337,Bachelor of Arts (Counselling Psychology),,35.69,35,3
KU,1111402,"Bachelor of Science (Dry Land, Agriculture & Enterprise Development)",,31.986,29.814,20
KU,1111422,Bachelor of Science (Crop Improvement & Protection),,27.949,27.512,20
KU,1111434,Bachelor of Science (Exercise & Sport Science),,28.69,25,16
KU,1111438,Bachelor of Science (Molecular & Cellular Biology),,39.549,38.556,18
KU,1111449,Bachelor of Communication and Media Studies,,39.743,,3
KU,1111485,Bachelor of Science (Spatial Management),,34.128,,20
KU,1111508,Bachelor of Science (Industrial Chemistry With Management),,41.66,41.721,9
KU,1111509,Bachelor of Arts (Fine Arts),,36.613,35.172,3
KU,1111540,Bachelor of Economics & Finance,,42.842,42.616,7
KU,1111543,Bachelor of Science (Health Records & Information Mgt.),,39.058,38.444,3
KU,1111565,Bachelor of Science (Coastal & Marine Resource Management,,32.462,35.005,20
KU,1111566,Bachelor of Science (Population Health),,37.136,35.662,18
KU,1111568,Bachelor of Science (Forensic Science),,42.294,42.726,18
KU,1111569,Bachelor of Education (Arts) Fine Art,,35.483,34.307,3
KU,1111570,Bachelor of Environmental Education,,27.347,29.27,20
KU,1111571,Bachelor of Science (Recreation and Sports Management),,29.123,25,16
KU,1111572,Bachelor of Science (Petroleum Engineering),,43.809,44.275,9
KU,1111573,Bachelor of Science (Aerospace Engineering),,43.141,43.604,9
KU,1111587,Bachelor of Science (Agribusiness Management),,39.999,38.952,12
KU,1111611,Bachelor of Science (Conservation Biology),,32.061,26.475,18
KU,1111618,Bachelor of Sciences (Mechanical & Manufacturing Engineering),,44.069,44,9
KU,1111621,Bachelor of Science (Agricultural & Bio-systems Engineering),,41.182,40.299,9
KU,1111625,Bachelor of Science (Energy Technology),,40.365,,9
KU,1111632,Bachelor of Science (Nursing),,44.179,44.496,18
KU,1111633,Bachelor of Education (Library Science),,29.264,29.04,2
KU,1111643,Bachelor of Health Services Management,,40.434,38.735,3
KU,1111659,Bachelor of Public Policy and Administration,,37.609,36.066,3
KU,1111661,Bachelor of Music (Technology),,23,25,24
KU,1111694,Bachelor of Science (Biomedical Engineering),,43.433,43.617,9
KU,1111776,Bachelor of Science (Construction Management),,42.252,,10
KU,1111986,Bachelor of Science (Community Resource Management),,28.86,25,3
MU,1253101,Bachelor of Arts,,28.97,28.318,3
MU,1253107,Bachelor of Science (Actuarial Science),,42.466,44.25,7
MU,1253112,Bachelor of Science (Biochemistry),,41.972,40.669,18
MU,1253115,Bachelor of Science (Computer Science),,43.519,43.363,11
MU,1253120,Bachelor of Science (Bsc.),,30.842,27.403,13
MU,1253128,Bachelor of Dental Surgery,,45.239,45.221,18
MU,1253131,Bachelor of Medicine and Bachelor of Surgery (M.B.Ch.B),,45.024,45.745,18
MU,1253132,Bachelor of Science (Nursing),,43.621,44.565,18
MU,1253134,Bachelor of Laws (LL.B.),,42.789,42.91,1
MU,1253135,Bachelor of Education (Arts),,34.535,35.759,3
MU,1253137,Bachelor of Education (Science),,36.875,39.86,13
MU,1253144,Bachelor of Arts (Social Work),,23,25,3
MU,1253150,Bachelor of Science (Information Sciences),,36.011,36.174,11
MU,1253151,Bachelor of Business Management,,37.532,37.972,7
MU,1253157,Bachelor of Tourism Management,,35.499,35.312,2
MU,1253161,Bachelor of Arts (Music),,23,25,24
MU,1253164,Bachelor of Science (Applied Statistics With Computing),,41.347,40.954,7
MU,1253166,Bachelor of Arts (French),,23,25,22
MU,1253169,Bachelor of Arts (German),,23,25,23
MU,1253171,Bachelor of Arts (Community Development),,29.632,30.072,3
MU,1253182,Bachelor of Science (Communication and Journalism),,39.119,38.834,3
MU,1253187,Bachelor of Science (Agri Business Management),,38.41,37.433,12
MU,1253188,Bachelor of Science (Environmental Health),,40.147,41.378,18
MU,1253189,Bachelor of Science (Human Resource Management),,38.478,38.067,3
MU,1253194,Bachelor of Science (Medical Laboratory Science),,41.73,,18
MU,1253201,Bachelor of Arts (With Education),,23,29.777,3
MU,1253215,Bachelor of Science (Agricultural Economics and Resource Management),,33.252,27.907,12
MU,1253222,Bachelor of Hotels and Hospitality Management,,37.299,36.803,2
MU,1253229,Bachelor of Environmental Studies (Arts),,30.884,29.837,20
MU,1253234,Bachelor of Travel and Tours Operations Management,,34.728,32.583,2
MU,1253237,Bachelor of Arts (Psychology),,30.612,34.328,3
MU,1253279,Bachelor of Science (Microbiology),,38.689,39.993,18
MU,1253292,Bachelor of Arts (Geography),,24.611,35.819,21
MU,1253293,Bachelor of Science (Animal Science),,36.126,33.752,20
MU,1253299,Bachelor of Science (Entrepreneurship Studies),,34.106,25,3
MU,1253324,Bachelor of Arts (Kiswahili),,34.399,34.8,6
MU,1253326,Bachelor of Education (Guidance and Counselling),,29.292,29.625,5
MU,1253327,Bachelor of Science (Project Planning and Management),,38.635,38.201,3
MU,1253331,Bachelor of Education (Technology Education),,28.387,27.7,13
MU,1253337,Bachelor of Science (Counselling Psychology),,28.374,32.116,3
MU,1253415,Bachelor of Science (Agricultural Extension Education),,37.466,34.88,20
MU,1253418,Bachelor of Science With Education,,26.843,34.53,13
MU,1253428,Bachelor of Science (Informatics),,39.113,38.568,11
MU,1253435,Bachelor of Sports Management,,23,25,16
MU,1253450,Bachelor of Science (Communication and Public Relations),,37.75,37.217,3
MU,1253490,Bachelor of Business Management (Civil Aviation Management),,38.959,39.589,7
MU,1253491,"Bachelor of Science (Graphic, Communication and Advertising)",,36.51,36.076,3
MU,1253492,Bachelor of Science (Media Science),,35.379,32.138,3
MU,1253493,Bachelor of Science (Strategic Management),,30.253,34.616,3
MU,1253494,Bachelor of Education (Arts - Business Studies),,29.344,33.759,7
MU,1253495,Bachelor of Science (Medical Psychology),,39.539,39.484,18
MU,1253496,Bachelor of Business Management (Marine Business Management),,35.822,35.392,7
MU,1253561,Bachelor of Science (Physical Therapy),,42.073,41.626,18
MU,1253594,Bachelor of Science (Agricultural Biotechnology),,36.078,32.486,20
MU,1253598,"Bachelor of Arts (Penology, Correction and Administration)",,23,25,3
MU,1253599,Bachelor of Engineering (Chemical and Process Engineering),,40.771,44.053,9
MU,1253600,Bachelor of Engineering (Industrial and Textile Engineering),,37.603,38.62,9
MU,1253616,Bachelor of Engineering (Civil and Structural Engineering),,43.938,44.921,9
MU,1253617,Bachelor of Engineering (Electrical and Electronics Engineering),,43.752,44.846,9
MU,1253621,"Bachelor of Arts (Linguistics, Media and Communication)",,33.21,32.98,3
MU,1253646,Bachelor of Arts (Economics),,39.615,31.696,7
MU,1253656,Bachelor of Education (Special Needs Education - Secondary Option),,34.946,34.506,5
MU,1253697,Bachelor of Engineering (Electrical and Telecommunication Engineering),,44.159,43.804,9
MU,1253718,Bachelor of Engineering (Mechanical and Production Engineering),,43.162,43.885,9
EU,1057101,Bachelor of Arts,,30.026,28.398,3
EU,1057107,Bachelor of Science (Actuarial Science),,41.251,43.575,7
EU,1057112,Bachelor of Science (Biochemistry),,39.993,34.981,18
EU,1057115,Bachelor of Science (Computer Science),,42.207,42.304,11
EU,1057120,Bachelor of Science,,27.195,28.088,13
EU,1057121,Bachelor of Science (Agricultural Engineering),,39.926,39.085,9
EU,1057122,Bachelor of Science (Agriculture),,32.862,32.224,20
EU,1057124,Bachelor of Science (Food Science & Technology),,37.8,39.146,20
EU,1057130,Bachelor of Veterinary Medicine,,41.617,40.856,18
EU,1057131,Bachelor of Medicine & Bachelor of Surgery,,44.543,45.361,18
EU,1057133,Bachelor of Commerce,,40.969,39.678,7
EU,1057134,Bachelor of Laws (LLB),,41.988,,1
EU,1057135,Bachelor of Education (Arts),,36.446,36.628,3
EU,1057137,Bachelor of Education (Science),,37.872,32.023,13
EU,1057142,Bachelor of Science (Wildlife Enterprises & Management),,27.037,31.649,20
EU,1057163,Bachelor of Science (Statistics),,41.716,40.98,7
EU,1057173,Bachelor of Science (Water and Environmental Engineering),,36.804,38.841,9
EU,1057174,Bachelor of Science in Soil Environment & Land Use Management),,28.732,25,20
EU,1057185,Bachelor of Science (Horticulture),,33.082,32.211,20
EU,1057190,Bachelor of Science (Food Nutrition & Dietetics),,39.186,39.508,20
EU,1057195,Bachelor of Science (Biomedical Science & Technology),,40.173,34.976,18
EU,1057198,Bachelor of Arts (Economics & Sociology),,36.107,30.177,7
EU,1057200,Bachelor of Science (Economics & Statistics),,42.416,42.516,7
EU,1057211,Bachelor of Science (Manufacturing Engineering & Technology),,34.072,39.766,9
EU,1057213,Bachelor of Science (Environmental Sciences),,36.35,27.796,20
EU,1057216,Bachelor of Science (Agricultural Economics),,36.127,35.524,12
